row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
240	62380	8.392 sec	TLP	Downstream	0x3	1
241	62383	8.392 sec	TLP	Downstream	0x3	1
242	62386	8.392 sec	TLP	Downstream	0x3	1
243	64716	8.408 sec	TLP	Downstream	0x3	1
244	64719	8.408 sec	TLP	Downstream	0x1	1
245	64722	8.408 sec	TLP	Upstream	0x12	1
246	64724	8.408 sec	TLP	Downstream	0x3	1
247	64726	8.408 sec	TLP	Downstream	0x3	1
248	64729	8.408 sec	TLP	Downstream	0x3	1
249	67003	8.424 sec	TLP	Downstream	0x3	1
250	67006	8.424 sec	TLP	Downstream	0x1	1
251	67009	8.424 sec	TLP	Upstream	0x12	1
252	67011	8.424 sec	TLP	Downstream	0x3	1
253	67013	8.424 sec	TLP	Downstream	0x1	1
254	67017	8.424 sec	TLP	Upstream	0x12	1
255	67019	8.424 sec	TLP	Downstream	0x3	1
256	67021	8.424 sec	TLP	Downstream	0x3	1
257	67024	8.424 sec	TLP	Downstream	0x1	1
258	67028	8.424 sec	TLP	Upstream	0x12	1
259	67030	8.424 sec	TLP	Downstream	0x3	1
260	67032	8.424 sec	TLP	Downstream	0x1	1
261	67036	8.424 sec	TLP	Upstream	0x12	1
262	67038	8.424 sec	TLP	Downstream	0x3	1
263	71571	8.455 sec	TLP	Downstream	0x3	1
264	71574	8.455 sec	TLP	Downstream	0x3	1
265	71576	8.455 sec	TLP	Downstream	0x1	1
266	71580	8.455 sec	TLP	Upstream	0x12	1
267	71582	8.455 sec	TLP	Downstream	0x3	1
268	71584	8.455 sec	TLP	Downstream	0x1	1
269	71588	8.455 sec	TLP	Upstream	0x12	1
270	76092	8.487 sec	TLP	Downstream	0x3	1
271	78412	8.503 sec	TLP	Downstream	0x1	1
272	78415	8.503 sec	TLP	Upstream	0x12	1
273	82798	8.533 sec	TLP	Downstream	0x1	1
274	82801	8.533 sec	TLP	Upstream	0x12	1
275	84997	8.548 sec	TLP	Downstream	0x1	1
276	85000	8.548 sec	TLP	Upstream	0x12	1
277	87279	8.564 sec	TLP	Downstream	0x1	1
278	87282	8.564 sec	TLP	Upstream	0x12	1
279	89556	8.580 sec	TLP	Downstream	0x1	1
280	89559	8.580 sec	TLP	Upstream	0x12	1
281	91886	8.596 sec	TLP	Downstream	0x1	1
282	91889	8.596 sec	TLP	Upstream	0x12	1
283	91893	8.596 sec	TLP	Downstream	0x3	1
284	91896	8.596 sec	TLP	Downstream	0x3	1
285	91899	8.596 sec	TLP	Downstream	0x3	1
286	91902	8.596 sec	TLP	Downstream	0x1	1
287	91905	8.596 sec	TLP	Upstream	0x12	1
288	91907	8.596 sec	TLP	Downstream	0x1	1
289	91910	8.596 sec	TLP	Upstream	0x12	1
290	91912	8.596 sec	TLP	Downstream	0x3	1
291	91915	8.596 sec	TLP	Downstream	0x1	1
292	91918	8.596 sec	TLP	Upstream	0x12	1
293	91920	8.596 sec	TLP	Downstream	0x3	1
294	91922	8.596 sec	TLP	Downstream	0x1	1
295	91926	8.596 sec	TLP	Upstream	0x12	1
296	94192	8.612 sec	TLP	Downstream	0x1	1
297	94195	8.612 sec	TLP	Upstream	0x12	1
298	94197	8.612 sec	TLP	Downstream	0x3	1
299	94199	8.612 sec	TLP	Downstream	0x1	1
300	94203	8.612 sec	TLP	Upstream	0x12	1
301	94205	8.612 sec	TLP	Downstream	0x3	1
302	96432	8.627 sec	TLP	Downstream	0x1	1
303	96435	8.627 sec	TLP	Upstream	0x12	1
304	96437	8.627 sec	TLP	Downstream	0x1	1
305	96440	8.627 sec	TLP	Upstream	0x12	1
306	96442	8.627 sec	TLP	Downstream	0x3	1
307	96444	8.627 sec	TLP	Downstream	0x1	1
308	96448	8.627 sec	TLP	Upstream	0x12	1
309	96450	8.627 sec	TLP	Downstream	0x3	1
310	96454	8.627 sec	TLP	Downstream	0x1	1
311	96458	8.627 sec	TLP	Upstream	0x12	1
312	96460	8.627 sec	TLP	Downstream	0x3	1
313	96463	8.627 sec	TLP	Downstream	0x1	1
314	96466	8.627 sec	TLP	Upstream	0x12	1
315	96468	8.627 sec	TLP	Downstream	0x1	1
316	96471	8.627 sec	TLP	Upstream	0x12	1
317	96473	8.627 sec	TLP	Downstream	0x3	1
318	96476	8.627 sec	TLP	Downstream	0x3	1
319	96478	8.627 sec	TLP	Downstream	0x3	1
320	96481	8.627 sec	TLP	Downstream	0x3	1
321	96484	8.627 sec	TLP	Downstream	0x1	1
322	96488	8.627 sec	TLP	Upstream	0x12	1
323	96490	8.627 sec	TLP	Downstream	0x3	1
324	96492	8.627 sec	TLP	Downstream	0x3	1
325	96496	8.627 sec	TLP	Downstream	0x3	1
326	96499	8.627 sec	TLP	Downstream	0x3	1
327	96501	8.627 sec	TLP	Downstream	0x1	1
328	96505	8.627 sec	TLP	Upstream	0x12	1
329	96507	8.627 sec	TLP	Downstream	0x3	1
330	96509	8.627 sec	TLP	Downstream	0x1	1
331	96513	8.627 sec	TLP	Upstream	0x12	1
332	96515	8.627 sec	TLP	Downstream	0x3	1
333	96517	8.627 sec	TLP	Downstream	0x3	1
334	96520	8.627 sec	TLP	Downstream	0x1	1
335	96524	8.627 sec	TLP	Upstream	0x12	1
336	96526	8.627 sec	TLP	Downstream	0x3	1
337	96528	8.627 sec	TLP	Downstream	0x1	1
338	96532	8.627 sec	TLP	Upstream	0x12	1
339	96534	8.627 sec	TLP	Downstream	0x3	1
340	96536	8.627 sec	TLP	Downstream	0x3	1
341	96539	8.627 sec	TLP	Downstream	0x3	1
342	96542	8.627 sec	TLP	Downstream	0x3	1
343	126018	8.832 sec	TLP	Downstream	0x3	1
344	126023	8.832 sec	TLP	Downstream	0x1	1
