
------------------------------------------------------------------------------------
                                    lecroy-vse-toolkit-poc-20260912-30e3b5c6\g1b-tlp-rows-10k
------------------------------------------------------------------------------------


Running verification script...
...

Test Description : 
PCIe G1b TLP row export - cap 10000 or trace end - v2
PCIE_G1B_TLP_ROWS_V2 cap=10000 time=vendor_display_text
PCIE_G1B_TLP|3129| 8.277 sec|TLP|Upstream|0xD|1
PCIE_G1B_TLP|8599| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8601| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8604| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8606| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8609| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8611| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8614| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8617| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8620| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8622| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8625| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8627| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8630| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8634| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8637| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8639| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8642| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8644| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8648| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8650| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8653| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8655| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8658| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8660| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8665| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8667| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8671| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8673| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8676| 8.314 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|8678| 8.314 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|8681| 8.314 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|8683| 8.314 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|8686| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8688| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8691| 8.314 sec|TLP|Downstream|0xA|1
PCIE_G1B_TLP|8693| 8.314 sec|TLP|Upstream|0x11|1
PCIE_G1B_TLP|8696| 8.314 sec|TLP|Downstream|0xA|1
