row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
190	2095548	5.894 sec	TLP	Upstream	0x12	1
191	2095551	5.894 sec	TLP	Downstream	0x9	1
192	2095553	5.894 sec	TLP	Upstream	0x12	1
193	2095556	5.894 sec	TLP	Downstream	0x9	1
194	2095558	5.894 sec	TLP	Upstream	0x12	1
195	2095563	5.894 sec	TLP	Downstream	0x9	1
196	2095565	5.894 sec	TLP	Upstream	0x12	1
197	2095568	5.894 sec	TLP	Downstream	0x9	1
198	2095570	5.894 sec	TLP	Upstream	0x12	1
199	2095573	5.894 sec	TLP	Downstream	0x9	1
200	2095575	5.894 sec	TLP	Upstream	0x12	1
201	2095578	5.894 sec	TLP	Downstream	0x9	1
202	2095580	5.894 sec	TLP	Upstream	0x12	1
203	2095583	5.894 sec	TLP	Downstream	0x9	1
204	2095585	5.894 sec	TLP	Upstream	0x12	1
205	2095589	5.894 sec	TLP	Downstream	0x9	1
206	2095591	5.894 sec	TLP	Upstream	0x12	1
207	2095594	5.894 sec	TLP	Downstream	0x9	1
208	2095596	5.894 sec	TLP	Upstream	0x12	1
209	2095599	5.894 sec	TLP	Downstream	0x9	1
210	2095601	5.894 sec	TLP	Upstream	0x12	1
211	2095613	5.894 sec	TLP	Downstream	0x9	1
212	2095615	5.894 sec	TLP	Upstream	0x12	1
213	2095618	5.894 sec	TLP	Downstream	0x9	1
214	2095620	5.894 sec	TLP	Upstream	0x12	1
215	2095623	5.894 sec	TLP	Downstream	0x9	1
216	2095625	5.894 sec	TLP	Upstream	0x12	1
217	2095628	5.894 sec	TLP	Downstream	0x9	1
218	2095632	5.894 sec	TLP	Upstream	0x12	1
219	2095635	5.894 sec	TLP	Downstream	0x9	1
220	2095637	5.894 sec	TLP	Upstream	0x12	1
221	2095641	5.894 sec	TLP	Downstream	0x9	1
222	2095643	5.894 sec	TLP	Upstream	0x12	1
223	2095646	5.894 sec	TLP	Downstream	0x9	1
224	2095648	5.894 sec	TLP	Upstream	0x12	1
225	2095651	5.894 sec	TLP	Downstream	0x9	1
226	2095653	5.894 sec	TLP	Upstream	0x12	1
227	2095656	5.894 sec	TLP	Downstream	0x9	1
228	2095658	5.894 sec	TLP	Upstream	0x12	1
229	2095661	5.894 sec	TLP	Downstream	0x9	1
230	2095663	5.894 sec	TLP	Upstream	0x12	1
231	2095667	5.894 sec	TLP	Downstream	0x9	1
232	2095671	5.894 sec	TLP	Upstream	0x12	1
233	2095674	5.894 sec	TLP	Downstream	0x9	1
234	2095676	5.894 sec	TLP	Upstream	0x12	1
235	2095679	5.894 sec	TLP	Downstream	0x9	1
236	2095681	5.894 sec	TLP	Upstream	0x12	1
237	2095684	5.894 sec	TLP	Downstream	0x9	1
238	2095686	5.894 sec	TLP	Upstream	0x12	1
239	2095689	5.894 sec	TLP	Downstream	0x9	1
240	2095691	5.894 sec	TLP	Upstream	0x12	1
241	2095694	5.894 sec	TLP	Downstream	0x9	1
242	2095696	5.894 sec	TLP	Upstream	0x12	1
243	2095700	5.894 sec	TLP	Downstream	0x9	1
244	2095702	5.894 sec	TLP	Upstream	0x12	1
245	2095707	5.895 sec	TLP	Downstream	0x9	1
246	2095709	5.895 sec	TLP	Upstream	0x12	1
247	2095712	5.895 sec	TLP	Downstream	0x9	1
248	2095714	5.895 sec	TLP	Upstream	0x12	1
249	2095717	5.895 sec	TLP	Downstream	0x9	1
250	2095719	5.895 sec	TLP	Upstream	0x12	1
251	2095722	5.895 sec	TLP	Downstream	0x9	1
252	2095724	5.895 sec	TLP	Upstream	0x12	1
253	2095727	5.895 sec	TLP	Downstream	0x9	1
254	2095729	5.895 sec	TLP	Upstream	0x12	1
255	2095732	5.895 sec	TLP	Downstream	0x9	1
256	2095734	5.895 sec	TLP	Upstream	0x12	1
257	2095737	5.895 sec	TLP	Downstream	0x9	1
258	2095740	5.895 sec	TLP	Upstream	0x12	1
259	2095743	5.895 sec	TLP	Downstream	0x9	1
260	2095745	5.895 sec	TLP	Upstream	0x12	1
261	2095748	5.895 sec	TLP	Downstream	0x9	1
262	2095750	5.895 sec	TLP	Upstream	0x12	1
263	2095753	5.895 sec	TLP	Downstream	0x9	1
264	2095755	5.895 sec	TLP	Upstream	0x12	1
265	2095758	5.895 sec	TLP	Downstream	0x9	1
266	2095760	5.895 sec	TLP	Upstream	0x12	1
267	2095763	5.895 sec	TLP	Downstream	0xA	1
268	2095765	5.895 sec	TLP	Upstream	0x11	1
269	2095770	5.895 sec	TLP	Downstream	0xA	1
270	2095772	5.895 sec	TLP	Upstream	0x11	1
271	2095775	5.895 sec	TLP	Downstream	0xA	1
272	2095778	5.895 sec	TLP	Upstream	0x11	1
273	2095781	5.895 sec	TLP	Downstream	0xA	1
274	2095783	5.895 sec	TLP	Upstream	0x11	1
275	2095786	5.895 sec	TLP	Downstream	0xA	1
276	2095788	5.895 sec	TLP	Upstream	0x11	1
277	2095791	5.895 sec	TLP	Downstream	0xA	1
278	2095793	5.895 sec	TLP	Upstream	0x11	1
279	2095796	5.895 sec	TLP	Downstream	0x9	1
280	2095798	5.895 sec	TLP	Upstream	0x12	1
281	2095801	5.895 sec	TLP	Downstream	0x9	1
282	2095803	5.895 sec	TLP	Upstream	0x12	1
283	2095806	5.895 sec	TLP	Downstream	0x9	1
284	2095808	5.895 sec	TLP	Upstream	0x12	1
285	2095811	5.895 sec	TLP	Downstream	0x9	1
286	2095814	5.895 sec	TLP	Upstream	0x12	1
287	2095817	5.895 sec	TLP	Downstream	0x9	1
288	2095821	5.895 sec	TLP	Upstream	0x12	1
289	2095824	5.895 sec	TLP	Downstream	0x9	1
290	2095826	5.895 sec	TLP	Upstream	0x12	1
291	2095829	5.895 sec	TLP	Downstream	0x9	1
292	2095831	5.895 sec	TLP	Upstream	0x12	1
293	2095834	5.895 sec	TLP	Downstream	0x9	1
294	2095836	5.895 sec	TLP	Upstream	0x12	1
295	2095839	5.895 sec	TLP	Downstream	0x9	1
296	2095841	5.895 sec	TLP	Upstream	0x12	1
297	2095844	5.895 sec	TLP	Downstream	0x9	1
298	2095846	5.895 sec	TLP	Upstream	0x12	1
299	2095849	5.895 sec	TLP	Downstream	0x9	1
300	2095851	5.895 sec	TLP	Upstream	0x12	1
301	2095854	5.895 sec	TLP	Downstream	0xA	1
302	2095856	5.895 sec	TLP	Upstream	0x11	1
303	2095859	5.895 sec	TLP	Downstream	0x9	1
304	2095862	5.895 sec	TLP	Upstream	0x12	1
305	2095865	5.895 sec	TLP	Downstream	0x9	1
306	2095867	5.895 sec	TLP	Upstream	0x12	1
307	2095870	5.895 sec	TLP	Downstream	0x9	1
308	2095874	5.895 sec	TLP	Upstream	0x12	1
309	2095877	5.895 sec	TLP	Downstream	0x9	1
310	2095879	5.895 sec	TLP	Upstream	0x12	1
311	2095882	5.895 sec	TLP	Downstream	0x9	1
312	2095884	5.895 sec	TLP	Upstream	0x12	1
313	2095887	5.895 sec	TLP	Downstream	0x9	1
314	2095889	5.895 sec	TLP	Upstream	0x12	1
315	2095892	5.895 sec	TLP	Downstream	0x9	1
316	2095894	5.895 sec	TLP	Upstream	0x12	1
317	2095897	5.895 sec	TLP	Downstream	0x9	1
318	2095899	5.895 sec	TLP	Upstream	0x12	1
319	2095902	5.895 sec	TLP	Downstream	0x9	1
320	2095905	5.895 sec	TLP	Upstream	0x12	1
321	2095908	5.895 sec	TLP	Downstream	0x9	1
322	2095910	5.895 sec	TLP	Upstream	0x12	1
323	2095913	5.895 sec	TLP	Downstream	0x9	1
324	2095915	5.895 sec	TLP	Upstream	0x12	1
325	2095918	5.895 sec	TLP	Downstream	0x9	1
326	2095920	5.895 sec	TLP	Upstream	0x12	1
327	2095923	5.895 sec	TLP	Downstream	0x9	1
328	2095925	5.895 sec	TLP	Upstream	0x12	1
329	2095928	5.895 sec	TLP	Downstream	0x9	1
330	2095930	5.895 sec	TLP	Upstream	0x12	1
331	2095933	5.895 sec	TLP	Downstream	0x9	1
332	2095935	5.895 sec	TLP	Upstream	0x12	1
333	2095940	5.895 sec	TLP	Downstream	0x9	1
334	2095942	5.895 sec	TLP	Upstream	0x12	1
335	2095947	5.895 sec	TLP	Downstream	0x9	1
336	2095949	5.895 sec	TLP	Upstream	0x12	1
337	2095952	5.895 sec	TLP	Downstream	0xA	1
338	2095954	5.895 sec	TLP	Upstream	0x11	1
339	2095957	5.895 sec	TLP	Downstream	0x9	1
340	2095959	5.895 sec	TLP	Upstream	0x12	1
341	2095962	5.895 sec	TLP	Downstream	0x9	1
342	2095964	5.895 sec	TLP	Upstream	0x12	1
343	2095967	5.895 sec	TLP	Downstream	0x9	1
344	2095969	5.895 sec	TLP	Upstream	0x12	1
345	2095972	5.895 sec	TLP	Downstream	0x9	1
346	2095974	5.895 sec	TLP	Upstream	0x12	1
347	2095977	5.895 sec	TLP	Downstream	0x9	1
348	2095979	5.895 sec	TLP	Upstream	0x12	1
349	2095982	5.895 sec	TLP	Downstream	0x9	1
350	2095985	5.895 sec	TLP	Upstream	0x12	1
351	2095988	5.895 sec	TLP	Downstream	0xA	1
352	2095992	5.895 sec	TLP	Upstream	0x11	1
353	2095995	5.895 sec	TLP	Downstream	0xA	1
354	2095997	5.895 sec	TLP	Upstream	0x11	1
355	2096000	5.895 sec	TLP	Downstream	0xA	1
356	2096002	5.895 sec	TLP	Upstream	0x11	1
357	2096005	5.895 sec	TLP	Downstream	0xA	1
358	2096007	5.895 sec	TLP	Upstream	0x11	1
359	2096010	5.895 sec	TLP	Downstream	0xA	1
360	2096012	5.895 sec	TLP	Upstream	0x11	1
361	2096015	5.895 sec	TLP	Downstream	0xA	1
362	2096017	5.895 sec	TLP	Upstream	0x11	1
363	2096020	5.895 sec	TLP	Downstream	0x9	1
364	2096022	5.895 sec	TLP	Upstream	0x12	1
365	2096025	5.895 sec	TLP	Downstream	0x9	1
366	2096027	5.895 sec	TLP	Upstream	0x12	1
367	2096030	5.895 sec	TLP	Downstream	0x9	1
368	2096033	5.895 sec	TLP	Upstream	0x12	1
369	2096036	5.895 sec	TLP	Downstream	0x9	1
370	2096038	5.895 sec	TLP	Upstream	0x12	1
371	2096041	5.895 sec	TLP	Downstream	0x9	1
372	2096043	5.895 sec	TLP	Upstream	0x12	1
373	2096046	5.895 sec	TLP	Downstream	0x9	1
374	2096048	5.895 sec	TLP	Upstream	0x12	1
375	2096051	5.895 sec	TLP	Downstream	0xA	1
376	2096053	5.895 sec	TLP	Upstream	0x11	1
377	2096056	5.895 sec	TLP	Downstream	0xA	1
378	2096059	5.895 sec	TLP	Upstream	0x11	1
379	2096063	5.895 sec	TLP	Downstream	0xA	1
380	2096065	5.895 sec	TLP	Upstream	0x11	1
381	2096068	5.895 sec	TLP	Downstream	0xA	1
382	2096070	5.895 sec	TLP	Upstream	0x11	1
383	2096073	5.895 sec	TLP	Downstream	0xA	1
384	2096075	5.895 sec	TLP	Upstream	0x11	1
385	2096078	5.895 sec	TLP	Downstream	0xA	1
386	2096080	5.895 sec	TLP	Upstream	0x11	1
387	2096084	5.895 sec	TLP	Downstream	0x9	1
388	2096086	5.895 sec	TLP	Upstream	0x12	1
389	2096089	5.895 sec	TLP	Downstream	0xA	1
390	2096091	5.895 sec	TLP	Upstream	0x11	1
391	2096094	5.895 sec	TLP	Downstream	0x9	1
392	2096096	5.895 sec	TLP	Upstream	0x12	1
393	2096099	5.895 sec	TLP	Downstream	0xA	1
394	2096101	5.895 sec	TLP	Upstream	0x11	1
395	2096107	5.895 sec	TLP	Downstream	0xA	1
396	2096109	5.895 sec	TLP	Upstream	0x11	1
397	2096112	5.895 sec	TLP	Downstream	0x9	1
398	2096114	5.895 sec	TLP	Upstream	0x12	1
399	2096117	5.895 sec	TLP	Downstream	0x9	1
400	2096119	5.895 sec	TLP	Upstream	0x12	1
401	2096122	5.895 sec	TLP	Downstream	0xA	1
402	2096124	5.895 sec	TLP	Upstream	0x11	1
403	2096128	5.895 sec	TLP	Downstream	0x9	1
404	2096130	5.895 sec	TLP	Upstream	0x12	1
405	2096135	5.895 sec	TLP	Downstream	0x9	1
406	2096137	5.895 sec	TLP	Upstream	0x12	1
407	2096140	5.895 sec	TLP	Downstream	0x9	1
408	2096142	5.895 sec	TLP	Upstream	0x12	1
409	2096145	5.895 sec	TLP	Downstream	0x9	1
410	2096147	5.895 sec	TLP	Upstream	0x12	1
411	2096150	5.895 sec	TLP	Downstream	0x9	1
412	2096152	5.895 sec	TLP	Upstream	0x12	1
413	2096155	5.895 sec	TLP	Downstream	0x9	1
414	2096157	5.895 sec	TLP	Upstream	0x12	1
415	2096160	5.895 sec	TLP	Downstream	0x9	1
416	2096162	5.895 sec	TLP	Upstream	0x12	1
417	2096166	5.895 sec	TLP	Downstream	0x9	1
418	2096168	5.895 sec	TLP	Upstream	0x12	1
419	2096171	5.895 sec	TLP	Downstream	0x9	1
420	2096173	5.895 sec	TLP	Upstream	0x12	1
421	2096189	5.895 sec	TLP	Downstream	0xA	1
422	2096191	5.895 sec	TLP	Upstream	0x11	1
423	2096194	5.895 sec	TLP	Downstream	0xA	1
424	2096196	5.895 sec	TLP	Upstream	0x11	1
425	2096199	5.895 sec	TLP	Downstream	0xA	1
426	2096201	5.895 sec	TLP	Upstream	0x11	1
427	2096664	5.895 sec	TLP	Downstream	0xA	1
428	2096667	5.895 sec	TLP	Upstream	0x11	1
