
------------------------------------------------------------------------------------
                                    lecroy-vse-toolkit-poc-20260912-30e3b5c6\g1b-tlp-rows-1k
------------------------------------------------------------------------------------


Running verification script...
...

Test Description : 
PCIe G1b TLP row export - cap 1000 or trace end - v2
PCIE_G1B_TLP_ROWS_V2 cap=1000 time=vendor_display_text
PCIE_G1B_TLP|2095528| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095531| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095533| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095536| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095538| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095541| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095543| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095546| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095548| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095551| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095553| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095556| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095558| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095563| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095565| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095568| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095570| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095573| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095575| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095578| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095580| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095583| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095585| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095589| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095591| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095594| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095596| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095599| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095601| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095613| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095615| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095618| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095620| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095623| 5.894 sec|TLP|Downstream|0x9|1
