row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
180	59974	8.376 sec	Downstream	0x3	0	0	NA	NA
181	59976	8.376 sec	Downstream	0x1	2	0	NA	NA
182	59980	8.376 sec	Upstream	0x12	2	0	256	0
183	59982	8.376 sec	Downstream	0x3	0	0	NA	NA
184	59984	8.376 sec	Downstream	0x1	8	0	NA	NA
185	59988	8.376 sec	Upstream	0x12	8	0	256	0
186	59990	8.376 sec	Downstream	0x3	0	0	NA	NA
187	59993	8.376 sec	Downstream	0x1	14	0	NA	NA
188	59996	8.376 sec	Upstream	0x12	14	0	256	0
189	59998	8.376 sec	Downstream	0x1	0	0	NA	NA
190	60001	8.376 sec	Upstream	0x12	0	0	256	0
191	60003	8.376 sec	Downstream	0x3	0	0	NA	NA
192	60005	8.376 sec	Downstream	0x3	0	0	NA	NA
193	60008	8.376 sec	Downstream	0x3	0	0	NA	NA
194	60011	8.376 sec	Downstream	0x3	0	0	NA	NA
195	60015	8.377 sec	Downstream	0x1	5	0	NA	NA
196	60018	8.377 sec	Upstream	0x12	5	0	256	0
197	60020	8.377 sec	Downstream	0x3	0	0	NA	NA
198	60022	8.377 sec	Downstream	0x3	0	0	NA	NA
199	60026	8.377 sec	Downstream	0x1	11	0	NA	NA
200	60029	8.377 sec	Upstream	0x12	11	0	256	0
201	60031	8.377 sec	Downstream	0x1	1	0	NA	NA
202	60034	8.377 sec	Upstream	0x12	1	0	256	0
203	60036	8.377 sec	Downstream	0x3	0	0	NA	NA
204	60038	8.377 sec	Downstream	0x1	7	0	NA	NA
205	60042	8.377 sec	Upstream	0x12	7	0	256	0
206	60044	8.377 sec	Downstream	0x3	0	0	NA	NA
207	60046	8.377 sec	Downstream	0x1	13	0	NA	NA
208	60050	8.377 sec	Upstream	0x12	13	0	256	0
209	60052	8.377 sec	Downstream	0x3	0	0	NA	NA
210	60054	8.377 sec	Downstream	0x3	0	0	NA	NA
211	60058	8.377 sec	Downstream	0x1	3	0	NA	NA
212	60061	8.377 sec	Upstream	0x12	3	0	256	0
213	60065	8.377 sec	Downstream	0x3	0	0	NA	NA
214	60067	8.377 sec	Downstream	0x1	9	0	NA	NA
215	60071	8.377 sec	Upstream	0x12	9	0	256	0
216	60073	8.377 sec	Downstream	0x3	0	0	NA	NA
217	60075	8.377 sec	Downstream	0x3	0	0	NA	NA
218	60078	8.377 sec	Downstream	0x1	15	0	NA	NA
219	60082	8.377 sec	Upstream	0x12	15	0	256	0
