row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
152	2095437	5.894 sec	Upstream	0x12	0	0	256	0
153	2095441	5.894 sec	Downstream	0x9	4	0	NA	NA
154	2095445	5.894 sec	Upstream	0x12	4	0	256	0
155	2095448	5.894 sec	Downstream	0x9	10	0	NA	NA
156	2095450	5.894 sec	Upstream	0x12	10	0	256	0
157	2095453	5.894 sec	Downstream	0x9	1	0	NA	NA
158	2095455	5.894 sec	Upstream	0x12	1	0	256	0
159	2095458	5.894 sec	Downstream	0x9	6	0	NA	NA
160	2095460	5.894 sec	Upstream	0x12	6	0	256	0
161	2095472	5.894 sec	Downstream	0x9	12	0	NA	NA
162	2095474	5.894 sec	Upstream	0x12	12	0	256	0
163	2095477	5.894 sec	Downstream	0x9	2	0	NA	NA
164	2095479	5.894 sec	Upstream	0x12	2	0	256	0
165	2095482	5.894 sec	Downstream	0x9	8	0	NA	NA
166	2095484	5.894 sec	Upstream	0x12	8	0	256	0
167	2095487	5.894 sec	Downstream	0x9	14	0	NA	NA
168	2095489	5.894 sec	Upstream	0x12	14	0	256	0
169	2095492	5.894 sec	Downstream	0x9	0	0	NA	NA
170	2095494	5.894 sec	Upstream	0x12	0	0	256	0
171	2095498	5.894 sec	Downstream	0x9	5	0	NA	NA
172	2095500	5.894 sec	Upstream	0x12	5	0	256	0
173	2095505	5.894 sec	Downstream	0x9	11	0	NA	NA
174	2095507	5.894 sec	Upstream	0x12	11	0	256	0
175	2095510	5.894 sec	Downstream	0x9	1	0	NA	NA
176	2095512	5.894 sec	Upstream	0x12	1	0	256	0
177	2095515	5.894 sec	Downstream	0x9	7	0	NA	NA
178	2095517	5.894 sec	Upstream	0x12	7	0	256	0
179	2095520	5.894 sec	Downstream	0x9	13	0	NA	NA
180	2095522	5.894 sec	Upstream	0x12	13	0	256	0
181	2095525	5.894 sec	Downstream	0x9	3	0	NA	NA
182	2095528	5.894 sec	Upstream	0x12	3	0	256	0
183	2095531	5.894 sec	Downstream	0x9	9	0	NA	NA
184	2095533	5.894 sec	Upstream	0x12	9	0	256	0
